id = 8; sex = male; age = 20; condition = 2; responseOrder = 1_0; featureOrder = 0_1
trial,x1,x2,y,response,time,correct
1,127.116517896,102.542355278,1,1,14.173609972,1
2,121.875996772,155.87211859,0,1,1.26778507233,0
3,79.4324777106,102.317238832,0,0,1.70204305649,1
4,97.8272064564,121.42478012,0,1,1.18449997902,0
5,94.1119340611,113.579188532,0,0,3.19838404655,1
6,103.771953337,155.194244813,0,1,5.58910512924,0
7,127.660186247,108.432042517,1,0,1.83546996117,0
8,99.2129815225,141.196922375,0,1,3.60265302658,0
9,100.238676453,122.768608466,0,1,2.25244498253,0
10,107.056180757,129.388967189,0,0,4.78688907623,1
11,134.737536898,96.6825663908,1,0,5.27017307281,0
12,99.179871804,129.019336342,0,0,2.37091994286,1
13,104.991082643,131.627359024,0,1,2.15671491623,0
14,96.4348026498,123.642107532,0,0,1.40150690079,1
15,128.304988707,97.6269016695,1,0,1.57545685768,0
16,111.991683966,129.635681796,0,0,0.635447025299,1
17,100.727081038,126.205626809,0,0,0.934313058853,1
18,86.1792246733,113.973747102,0,0,1.00288796425,1
19,130.703142484,112.144650924,1,0,1.28922915459,0
20,119.449229812,96.3799260507,1,1,0.904288053513,1
21,121.661549566,88.6503733644,1,1,0.785443067551,1
22,118.902093077,92.2775904716,1,1,0.566499948502,1
23,110.072045265,93.6497175002,1,1,0.570425033569,1
24,122.942478978,99.1185835882,1,1,0.495325088501,1
25,115.843714881,72.2082541808,1,1,4.00243806839,1
26,109.560524224,99.4459728474,1,0,2.00266003609,0
27,89.0504755824,116.70995985,0,1,0.668964147568,0
28,97.1076970483,120.467073199,0,0,1.52150201797,1
29,117.382775464,124.589090575,1,0,1.12048006058,0
30,133.535362038,100.234861394,1,1,0.869940042496,1
31,73.9860802243,96.5298989772,0,1,0.80203795433,0
32,103.273131709,115.410151035,0,1,1.63977003098,0
33,112.837112281,90.7407761455,1,0,0.501280069351,0
34,105.715199522,128.490416546,0,0,0.852880954742,1
35,91.4131837285,106.35481747,0,0,0.834088802338,1
36,123.048705401,103.187896758,1,1,1.44139885902,1
37,150.951844188,111.974928568,1,0,0.868837118149,0
38,79.0902538585,110.971629454,0,1,0.794790029526,0
39,88.6129399118,130.901295989,0,0,0.637099981308,1
40,104.383166416,136.175097897,0,0,0.468549013138,1
41,109.044796651,96.0998278116,1,0,0.416158914566,0
42,84.6129311507,125.823751377,0,0,0.434389829636,1
43,121.681134869,162.966401143,0,0,0.401186943054,1
44,102.723124165,78.098645503,1,1,0.669142007828,1
45,115.773531675,97.7335929164,1,1,1.39063882828,1
46,107.103418478,89.3245636789,1,1,3.28613185883,1
47,107.455813792,84.7569120453,1,1,0.569176197052,1
48,110.912789607,130.831904031,0,0,0.536019086838,1
49,115.006961783,119.674805729,0,0,0.600525856018,1
50,139.531956802,101.473599775,1,0,1.36777997017,0
51,108.939554766,129.758898732,0,0,0.901434898376,1
52,126.611662678,89.7397261171,1,1,0.838218927383,1
53,105.982017091,125.546781879,0,0,0.651679992676,1
54,95.9708740402,101.86734985,0,0,1.01825094223,1
55,122.654247936,107.246186429,1,0,0.631053209305,0
56,101.544296209,89.1282553797,1,1,0.551398038864,1
57,120.585121106,109.35461298,1,0,0.466799020767,0
58,131.938266593,109.148484024,1,1,0.834268093109,1
59,125.780733991,90.1564532358,1,1,0.529712915421,1
60,112.103753601,136.830602721,0,0,0.467887878418,1
61,145.411719903,114.629667316,1,0,0.927222967148,0
62,132.028709908,111.910886868,1,1,0.99667596817,1
63,94.4784244509,100.920917034,0,0,0.634765148163,1
64,92.0401028296,135.943346663,0,0,1.06728291512,1
65,88.3013902431,135.799459851,0,0,0.534379005432,1
66,66.0138683837,102.623453398,0,1,2.9479868412,0
67,136.107762714,113.186414418,1,0,0.702008962631,0
68,127.334103305,105.397739521,1,1,0.283767938614,1
69,116.123415496,96.35914682,1,1,1.1201570034,1
70,127.788470732,109.993370152,1,0,1.23077392578,0
71,70.3739084834,104.615704856,0,0,0.634828090668,1
72,131.874998417,111.444080929,1,0,0.602879047394,0
73,117.19475285,117.831699191,0,0,0.534453868866,1
74,80.8683088198,115.973358536,0,0,0.501437902451,1
75,110.095745328,88.8867914586,1,0,0.305382013321,0
76,111.220226696,91.4727014691,1,0,0.467895030975,0
77,103.186038638,79.424444814,1,1,0.586120843887,1
78,115.033424414,139.814733227,0,0,0.501404047012,1
79,80.0252303478,122.680565261,0,0,0.434674978256,1
80,120.878580811,107.949444919,1,0,0.979085922241,0
81,144.288409347,126.565918636,1,0,0.704566001892,0
82,120.284276722,74.8000888762,1,1,0.534488916397,1
83,106.346045878,88.8521896009,1,1,0.334490776062,1
84,70.1863375547,108.495782306,0,1,0.300795793533,0
85,160.315395815,135.597071534,1,0,0.594801902771,0
86,113.318750691,135.033091812,0,0,1.53589296341,1
87,83.529004883,110.280321331,0,0,0.701366186142,1
88,120.652140933,130.017108173,0,0,0.440798997879,1
89,107.375892316,103.318025666,1,0,0.369278907776,0
90,98.6394919308,120.391526346,0,0,0.985365152359,1
91,132.102268379,107.243794816,1,0,0.367946147919,0
92,131.741265318,92.4538906026,1,1,0.560065031052,1
93,96.3665166613,116.224690109,0,1,0.418391942978,0
94,85.0233142246,117.465515951,0,0,0.768044948578,1
95,95.2814756707,119.672578536,0,1,0.868382930756,0
96,125.121207624,101.819245759,1,0,0.386085033417,0
97,117.264337537,139.542519401,0,0,0.427579879761,1
98,114.404994099,88.616586496,1,1,0.635345935822,1
99,125.433852031,101.700267938,1,0,0.634725093842,0
100,86.4128167297,110.273270463,0,0,0.702410936356,1
101,96.1760203144,132.09342352,0,0,0.668422937393,1
102,101.542094057,77.5076692309,1,1,1.16075491905,1
103,111.739280497,85.3585904943,1,1,1.13412308693,1
104,104.598569782,78.1245293388,1,1,1.0002450943,1
105,101.65813105,129.2316694,0,0,0.451362133026,1
106,117.908237562,91.3482908252,1,1,1.25045919418,1
