id = 4; sex = male; age = 20; condition = 2; responseOrder = 0_1; featureOrder = 1_0
trial,x1,x2,y,response,time,correct
1,124.067292634,98.0146699298,1,0,9.72099089622,0
2,103.167177844,147.106208891,0,1,2.42202615738,0
3,128.714522044,93.2257822327,1,0,2.30405402184,0
4,95.3185033381,131.088511154,0,0,4.4533829689,1
5,131.4704237,112.725685178,1,1,1.16984200478,1
6,97.9348916506,133.884563541,0,0,1.46847891808,1
7,132.890352606,114.836164001,1,1,0.808034896851,1
8,96.6822401759,110.898574475,0,0,0.959306955338,1
9,119.729173574,94.5236458805,1,1,2.40232014656,1
10,105.18907838,124.396533895,0,1,3.10402488708,0
11,86.9359059353,110.881787591,0,0,3.01925706863,1
12,108.966923644,94.2719568364,1,1,1.93478512764,1
13,80.4711727647,102.035324095,0,0,1.13280105591,1
14,132.598246032,115.486761644,1,1,0.93416595459,1
15,77.926304488,119.672302279,0,0,2.05331802368,1
16,112.163011985,89.7913366683,1,1,1.35168194771,1
17,86.1750748904,113.149400904,0,0,1.13442492485,1
18,125.481386473,94.9759146111,1,1,4.08782696724,1
19,104.997353698,92.1215919003,1,1,3.50249290466,1
20,103.9656637,123.781984633,0,1,1.45176005363,0
21,118.771117538,108.373589722,1,1,1.06523108482,1
22,128.917170237,101.790132454,1,0,1.47011113167,0
23,109.417031905,116.420871654,0,1,2.5524251461,0
24,111.107469423,70.6955421312,1,1,3.88789391518,1
25,93.2732367278,124.684015242,0,0,0.851301908493,1
26,87.9815472225,119.418469483,0,0,0.734678983688,1
27,105.076140397,129.898448661,0,1,1.63457107544,0
28,109.730016282,77.9822732224,1,1,1.75141406059,1
29,115.379748032,85.2760473803,1,1,2.36113786697,1
30,139.868828925,107.791310384,1,0,0.901376008987,0
31,142.839982151,106.562325515,1,0,1.40044689178,0
32,83.1431293039,106.849202684,0,0,0.700831890106,1
33,93.7945381103,82.6999440888,1,0,0.671230792999,0
34,97.0984775061,109.418819336,0,0,2.0535337925,1
35,105.136628063,126.352366492,0,0,0.836240768433,1
36,74.4698753972,104.378251722,0,1,1.78636693954,0
37,114.836966175,88.9784261035,1,1,3.60299992561,1
38,100.495569115,130.911251018,0,0,1.48457789421,1
39,97.8839031932,126.920358126,0,0,0.818148851395,1
40,111.7500464,95.0544272999,1,1,0.969752073288,1
41,68.8795707247,117.03494684,0,0,0.934792995453,1
42,144.254840425,110.610007459,1,1,0.810845851898,1
43,97.3289650515,121.168389565,0,1,0.92516207695,0
44,108.647512765,135.548131459,0,1,1.16771697998,0
45,98.1595854708,60.7369025434,1,0,1.90766882896,0
46,110.270405021,85.3836179154,1,1,1.65564894676,1
47,103.510876289,120.931067933,0,1,3.23554801941,0
48,130.019990213,100.064777328,1,0,2.28697013855,0
49,99.9172186875,82.4889533723,1,1,1.51748991013,1
50,138.769627424,98.8169513636,1,1,1.48474216461,1
51,72.2584623852,116.821612405,0,1,1.29960894585,0
52,106.053766433,129.773989896,0,1,1.03481578827,0
53,110.734345782,119.777831853,0,1,1.85722494125,0
54,116.713574667,94.3704404432,1,0,0.851417064667,0
55,113.537307682,120.235018867,0,0,1.34706807137,1
56,117.426308545,99.631603667,1,1,1.39641213417,1
57,128.17672343,124.9897535,1,0,0.73602104187,0
58,124.269546772,109.0898175,1,1,2.36730504036,1
59,105.366947494,125.375309898,0,0,1.16839385033,1
60,96.6510073611,91.7501435059,1,0,1.01844882965,0
61,98.9481470432,97.7562195441,1,1,1.01763916016,1
62,111.51627232,82.8298379301,1,0,1.69126486778,0
63,118.575976898,72.9202858666,1,0,1.6239631176,0
64,95.9031778701,130.499494225,0,1,1.06819081306,0
65,85.9747235272,117.875305578,0,1,1.50426197052,0
66,95.7873844311,142.467696534,0,0,4.93189406395,1
67,112.409581068,93.8770281389,1,1,1.41461801529,1
68,101.951734766,125.490758265,0,0,0.918156862259,1
69,98.6903443996,124.911455278,0,1,1.36850404739,0
70,85.5356640533,113.388993074,0,1,1.03429889679,0
71,119.345964812,86.8298275723,1,1,1.35954213142,1
72,95.8046421561,104.228028679,0,0,0.868103027344,1
73,118.415103389,94.3631364997,1,0,2.07023882866,0
74,104.353735992,94.6420884987,1,0,1.73561215401,0
75,131.789100141,114.166863507,1,1,7.48117899895,1
76,99.404233673,127.498403081,0,0,1.65929484367,1
77,110.530714921,130.104376831,0,0,0.942487955093,1
78,127.688680204,98.2721352232,1,1,0.855728149414,1
79,117.20261331,111.933695668,0,0,0.901417016983,1
80,118.531030991,117.198006721,1,0,0.500512123108,0
81,78.9471829446,115.962912791,0,0,1.00643181801,1
82,147.93921112,125.37990759,1,1,0.902138948441,1
83,90.2666996638,123.628938089,0,1,2.10060405731,0
84,110.141529336,132.03308599,0,1,0.918081045151,0
85,133.710736563,103.296451935,1,0,1.56839990616,0
86,93.4714806721,117.227179833,0,0,1.3246409893,1
87,119.51125038,94.2113022743,1,1,0.885351896286,1
88,108.426974923,94.827910746,1,1,1.31899309158,1
89,89.5323685672,117.723217068,0,1,0.7493019104,0
90,113.865542772,132.674013381,0,1,0.795880079269,0
91,101.402160144,108.601061594,0,1,1.10046577454,0
92,109.229859724,98.1491784876,1,1,1.58521103859,1
93,100.893329533,152.601374306,0,0,1.52738308907,1
94,124.535836384,105.957552978,1,1,3.81971693039,1
95,105.454383248,123.246617822,0,0,0.802725076675,1
96,85.6873155959,111.230179891,0,0,0.700571060181,1
97,116.866651276,98.6356295312,1,0,0.759212017059,0
98,134.29510094,106.376139504,1,0,1.60659790039,0
99,153.972070675,126.664764246,1,1,0.993952035904,1
100,111.768180418,118.084903654,0,0,14.2251660824,1
101,117.302883775,78.4711901019,1,0,12.9409651756,0
102,99.1378065557,131.742072782,0,0,4.26843309402,1
103,124.205103248,101.565421705,1,0,0.867817163467,0
104,119.539021566,87.5456156742,1,1,12.9572989941,1
