id = 2; sex = male; age = 21; condition = 2; responseOrder = 0_1; featureOrder = 1_0
trial,x1,x2,y,response,time,correct
1,106.453527961,119.585025331,0,1,7.40305685997,0
2,143.230859134,128.70729617,1,0,6.46913385391,0
3,117.734874655,82.2986783344,1,0,1.13334178925,0
4,108.191750549,147.948152126,0,0,1.35175204277,1
5,90.5774242939,108.096396306,0,1,1.65188384056,0
6,100.910203689,138.7028969,0,0,5.08713793755,1
7,125.857980154,100.239989405,1,1,1.00159406662,1
8,88.1417374496,105.706386995,0,1,1.3883960247,0
9,96.163067241,124.906378606,0,0,0.902550935745,1
10,109.545171874,131.961162806,0,1,1.26850295067,0
11,90.8274323453,118.191836425,0,0,0.717899084091,1
12,112.854490667,89.3003705826,1,0,1.16826796532,0
13,88.668522945,106.472219693,0,0,2.03686213493,1
14,121.994942089,102.511471375,1,0,1.98416209221,0
15,81.1933779241,92.8823335234,0,0,1.16841101646,1
16,88.6789399908,110.075442008,0,0,1.01821804047,1
17,120.481492007,139.282135443,0,1,1.15093994141,0
18,103.629716946,120.491889785,0,0,0.90154504776,1
19,111.859455045,76.0171613751,1,1,0.969732999802,1
20,78.751302063,112.364734751,0,0,1.10379099846,1
21,96.7195016473,121.831482012,0,0,2.57643985748,1
22,115.620260392,145.78160857,0,1,1.00130200386,0
23,113.113255099,110.757528239,1,0,0.574427843094,0
24,79.9387243887,101.238843065,0,0,2.4354698658,1
25,138.615412754,108.852409204,1,1,0.87139415741,1
26,86.2978121656,137.326003313,0,0,1.10041189194,1
27,82.2358275012,73.7528444334,1,0,0.5515229702,0
28,128.129523111,108.217923332,1,1,4.48680591583,1
29,119.081474072,106.79408243,1,1,0.701357841492,1
30,139.590444674,109.976161601,1,1,1.00137400627,1
31,98.4930723071,127.103676532,0,0,0.934996128082,1
32,101.167378101,110.544972464,0,0,0.734974861145,1
33,114.673313926,82.2716809769,1,1,1.03514099121,1
34,118.009547175,137.268470695,0,0,1.00132703781,1
35,88.5731637744,67.3250722998,1,1,1.33487701416,1
36,83.8796791448,129.251188289,0,0,1.07232713699,1
37,106.217299331,132.155386405,0,0,2.68550491333,1
38,129.768719788,99.1738534098,1,1,0.868340969086,1
39,94.9430323707,121.281709834,0,0,0.770185947418,1
40,126.576260923,84.5206172812,1,1,0.859945058823,1
41,115.151876333,131.246305531,0,1,0.951512098312,0
42,129.271889724,99.7278355413,1,0,0.834352016449,0
43,107.93049374,86.4186718344,1,1,4.61672997475,1
44,131.036077046,102.389373918,1,1,1.38500499725,1
45,140.541253792,107.931861219,1,1,1.16982603073,1
46,112.410374095,94.7237125592,1,0,0.999053955078,0
47,123.629083443,111.903731872,1,0,4.56619787216,0
48,114.961011422,95.3416715327,1,1,0.818336963654,1
49,122.761978435,102.426007725,1,1,0.595552921295,1
50,77.0085228923,115.156177547,0,0,0.885518074036,1
51,89.6900750052,114.917471315,0,0,0.80224108696,1
52,105.233041282,130.2593221,0,0,1.07952904701,1
53,118.475092134,131.197096072,0,0,0.627516031265,1
54,127.235977446,154.607076606,0,1,1.0836930275,0
55,108.07662978,98.153967583,1,0,0.88422703743,0
56,88.1540432176,124.273552488,0,0,1.68777012825,1
57,122.629403128,94.6961675313,1,1,2.38716316223,1
58,113.825873116,76.2208103904,1,1,0.717931032181,1
59,109.133667315,147.447105228,0,0,0.736306905746,1
60,110.698213844,93.3523128522,1,0,0.900819063187,0
61,88.1453443761,126.696070098,0,0,4.03651189804,1
62,120.981736926,94.8320088805,1,1,1.57070302963,1
63,124.285656069,97.7871107801,1,1,1.76931381226,1
64,142.965708074,113.96886112,1,1,0.990227937698,1
65,89.5000997138,123.645030327,0,0,0.606627941132,1
66,98.2505895632,121.514104059,0,0,0.667205095291,1
67,102.716542173,113.542648701,0,0,0.852355957031,1
68,116.435384082,98.9168466166,1,0,0.665470123291,0
69,96.4319166507,137.576412273,0,1,3.93502187729,0
70,123.318793959,81.8876962743,1,1,0.987221002579,1
71,80.2454305965,107.707560573,0,0,0.728496074677,1
72,94.011102008,133.55997457,0,0,1.22003293037,1
73,104.652695045,129.103389682,0,0,0.580944061279,1
74,116.354851227,138.216165998,0,1,1.00701808929,0
75,95.5836078746,122.385287205,0,0,3.90455818176,1
76,131.724359808,110.192105141,1,0,6.28766703606,0
77,119.549102849,104.110773189,1,0,0.735455989838,0
78,109.103667719,135.765434483,0,1,0.850630044937,0
79,156.023237093,129.241348893,1,1,3.87820005417,1
80,118.168724487,80.9417339191,1,0,0.669325113297,0
81,84.3382701914,56.6576125416,1,0,0.797310829163,0
82,115.26813398,83.1949484743,1,1,0.715847969055,1
83,115.829005517,145.299351334,0,0,1.90033793449,1
84,146.059101105,100.586391111,1,0,0.901397943497,0
85,115.935905483,125.809647162,0,0,0.766658067703,1
86,114.128025276,105.46917618,1,0,5.0524418354,0
87,119.405297414,95.6470010851,1,1,0.701380968094,1
88,90.24713699,108.613009443,0,0,0.8499751091,1
89,97.9784969753,123.589999386,0,0,0.934706926346,1
90,120.104432007,83.5977967676,1,1,0.700767993927,1
91,101.593736809,68.1764410924,1,1,0.624279022217,1
92,120.780326133,84.9505995854,1,1,0.821537971497,1
93,134.310553665,107.454138163,1,1,0.829298973083,1
94,122.143285412,92.6622339549,1,1,0.667398929596,1
95,118.094890329,86.950256912,1,1,7.87280917168,1
96,135.280499988,96.0828692385,1,1,0.991094112396,1
97,89.8678386663,125.296274572,0,1,1.44036388397,0
98,139.457777883,165.456251042,0,1,0.76902794838,0
99,112.74626327,88.2684063156,1,0,0.666603088379,0
100,97.9379904623,131.517297026,0,0,0.833570957184,1
101,73.93194574,107.053838601,0,0,1.95345807076,1
102,75.9898958648,104.404377874,0,0,2.35293507576,1
103,85.2330672595,116.791041629,0,0,0.697303056717,1
104,110.099260428,92.4914483359,1,0,0.597769021988,0
105,111.703929806,88.7815846687,1,1,0.719254970551,1
106,99.0015440052,124.462544617,0,0,0.74928689003,1
107,70.8824345836,109.918749058,0,0,0.751397132874,1
108,129.905214766,88.2792924823,1,1,1.78770899773,1
109,64.9924025271,107.051868703,0,0,0.6346180439,1
110,118.639754981,102.310027813,1,1,0.903053998947,1
111,120.621276827,107.344142277,1,0,1.21842813492,0
112,92.4959581996,58.9026785312,1,0,0.889495134354,0
113,107.247546315,134.597499548,0,0,3.5529282093,1
114,98.5633702319,125.881679799,0,0,0.668886184692,1
115,85.5071933727,128.740813563,0,0,0.868278980255,1
116,127.348616633,106.68284717,1,0,1.16824412346,0
117,139.355756308,101.491257458,1,0,1.53730797768,0
118,125.048438188,100.964192192,1,0,0.665511846542,0
119,117.025499216,137.66486309,0,1,1.18666505814,0
120,114.264370452,86.2963691336,1,1,4.18500804901,1
121,84.8155973533,116.661928074,0,0,0.768491983414,1
122,66.5637498761,94.8355649165,0,0,0.668879032135,1
123,126.653089415,102.976410305,1,1,0.754300117493,1
124,79.3337831611,123.310157969,0,0,0.667995929718,1
125,86.4976992434,100.271621147,0,0,1.01769590378,1
126,109.12955235,88.3350660097,1,1,0.903404951096,1
127,136.757460987,96.8213279152,1,0,0.794246912003,0
128,105.043175526,127.274336399,0,1,6.60202693939,0
129,87.9034737253,107.888209793,0,0,0.467892885208,1
130,115.513172822,94.8296136476,1,0,0.535161972046,0
131,78.6583431766,109.085218732,0,0,0.632371902466,1
132,101.74736296,135.512953125,0,0,0.634857177734,1
133,112.079048897,100.570461098,1,0,0.783123970032,0
134,127.575903349,147.750683364,0,0,15.7771580219,1
135,112.905524609,129.674571057,0,0,0.788646936417,1
136,94.489127284,121.624291094,0,0,0.560143947601,1
137,106.625428958,102.873667768,1,0,0.565119981766,0
138,130.102131752,101.695100329,1,0,6.40420222282,0
139,146.068507604,132.129799683,1,1,1.23558211327,1
140,92.7740987356,116.955901721,0,0,0.640491008759,1
141,131.746697927,112.513257637,1,1,4.00313806534,1
142,81.3258164138,109.211931348,0,0,0.636288166046,1
