id = 16; sex = male; age = 19; condition = 2; responseOrder = 0_1; featureOrder = 1_0
trial,x1,x2,y,response,time,correct
1,107.66462338,143.08895816,0,0,3.41671013832,1
2,90.7428824952,118.425821251,0,1,1.32028603554,0
3,88.2093509692,125.861528575,0,0,1.34102296829,1
4,96.6432244411,113.098988098,0,0,1.06799006462,1
5,112.700733661,141.666702554,0,0,1.19167208672,1
6,95.6603390522,123.438564668,0,0,0.784629106522,1
7,88.3861996218,116.074395111,0,0,2.17715787888,1
8,129.07739473,95.1762575559,1,0,1.55154514313,0
9,95.116604896,124.841314871,0,0,0.952877044678,1
10,115.148417793,120.117460214,0,1,0.770172119141,0
11,99.3571655078,128.904097728,0,0,0.78443312645,1
12,115.109366572,87.9106818607,1,0,1.00278711319,0
13,152.869387885,127.125374577,1,1,1.79202103615,1
14,81.7848415496,124.963363743,0,0,0.919758081436,1
15,122.241281733,90.0971788023,1,1,1.08396792412,1
16,114.17990875,91.1788754831,1,1,0.95413684845,1
17,123.903169063,107.282268714,1,0,0.75216794014,0
18,118.636383587,87.9383448637,1,1,0.72377204895,1
19,96.8646629336,107.750182761,0,0,0.79446387291,1
20,123.765962244,90.6167896113,1,1,0.800750017166,1
21,143.331178262,135.214143074,1,1,0.632943153381,1
22,104.805346478,73.32726877,1,1,0.834448099136,1
23,96.7628651094,114.613765018,0,0,0.824820041656,1
24,82.8037849771,96.7899007232,0,1,0.950820922852,0
25,115.401140845,107.00325137,1,1,0.78213596344,1
26,100.909056054,131.945662335,0,0,1.39500713348,1
27,118.698384183,79.9691314038,1,1,0.844195127487,1
28,101.336801178,114.169776128,0,0,0.728350162506,1
29,115.65903273,138.743475069,0,1,0.445824146271,0
30,106.547027886,74.1475326404,1,1,1.18411803246,1
31,111.822568563,87.3625324152,1,1,0.801875829697,1
32,105.978800245,96.3529622974,1,0,0.708136081696,0
33,86.8733495415,115.973263783,0,0,0.701416969299,1
34,100.374757664,123.02692623,0,0,1.43169403076,1
35,156.181710306,126.160705246,1,1,3.73641514778,1
36,127.463263361,96.3253843241,1,1,0.635496854782,1
37,113.645490239,139.192598012,0,1,1.78813195229,0
38,95.2898363387,122.346542928,0,0,0.671247005463,1
39,104.496888113,132.498697876,0,0,0.556561946869,1
40,108.67348772,127.718460197,0,0,0.751269102097,1
41,101.671719985,104.809237255,0,0,0.802713155746,1
42,109.770800236,98.4054459874,1,0,0.863707065582,0
43,87.8075995885,119.203864407,0,0,0.633544921875,1
44,117.126820293,78.6233219814,1,1,0.588887929916,1
45,98.5701671023,75.5043505084,1,1,0.651344060898,1
46,96.9937865058,132.143891346,0,1,1.6033270359,0
47,90.5202536008,120.015603734,0,0,0.875518083572,1
48,93.8022052834,124.085121268,0,0,0.492766141891,1
49,158.271691773,133.705615869,1,1,1.40306091309,1
50,99.7004271633,117.973076118,0,0,2.24663496017,1
51,141.972574298,107.547230153,1,0,1.73658680916,0
52,120.423667787,102.768714915,1,0,2.6327149868,0
53,117.401765944,135.89097143,0,0,2.65256309509,1
54,86.0086348281,80.8116437231,1,1,2.10371994972,1
55,99.1057120669,117.544489088,0,0,3.76819801331,1
56,106.507303024,82.1451601897,1,0,0.678667068481,0
57,74.0096706077,119.360475944,0,0,0.868297100067,1
58,124.085807571,134.004448502,0,1,0.583825111389,0
59,111.326372906,141.587759892,0,0,0.793003082275,1
60,127.63539764,100.39881083,1,0,0.81192612648,0
61,111.212805912,119.008606935,0,0,0.68527007103,1
62,104.027503227,115.639068563,0,0,0.9674680233,1
63,96.4437553322,125.967140128,0,0,0.694812059402,1
64,114.762331506,107.244819628,1,0,0.450654983521,0
65,91.1108206705,132.480659163,0,0,0.823517084122,1
66,120.805485364,93.58322552,1,1,0.448755979538,1
67,128.874627232,101.719305832,1,1,0.385997056961,1
68,136.035505806,103.061228545,1,1,0.385040998459,1
69,109.804318564,152.260314127,0,1,0.700200080872,0
70,98.9246163744,137.426202996,0,0,0.55144405365,1
71,124.493247398,111.735311242,1,1,0.586081981659,1
72,130.703418309,102.398230446,1,1,0.342684984207,1
73,154.008228855,120.472440627,1,1,0.499753952026,1
74,104.586517809,139.37104346,0,0,0.935429096222,1
75,119.860628702,107.863193525,1,0,0.534526824951,0
76,96.8732274772,124.363486357,0,0,1.06150794029,1
77,135.4128957,121.405504511,1,0,0.87591791153,0
78,127.232894679,95.6975879816,1,1,0.667937040329,1
79,126.007868644,93.221324726,1,1,0.425352096558,1
80,104.45073828,140.830304685,0,0,0.911538124084,1
81,149.167102777,106.669617257,1,1,0.501218080521,1
82,127.422582302,102.17750532,1,1,0.55121588707,1
83,122.823206633,104.433418047,1,1,0.726421833038,1
84,106.722362102,65.9177121356,1,0,0.829803943634,0
85,113.196885421,77.0535718208,1,1,0.85347700119,1
86,104.31547304,119.958563182,0,0,1.19139719009,1
87,125.821119285,83.7723398881,1,1,0.717730998993,1
88,97.4979884249,106.875468537,0,0,0.877035140991,1
89,120.887596499,114.616855351,1,1,0.701676130295,1
90,95.9985290596,128.320448826,0,0,0.584734916687,1
91,69.6607878832,98.8475486137,0,0,0.710867166519,1
92,89.589385356,133.391987067,0,0,1.21037197113,1
93,102.334804882,122.274135934,0,0,0.599153995514,1
94,120.3544137,88.5754746753,1,1,0.468044042587,1
95,118.962363304,89.1213044104,1,1,0.426498889923,1
96,126.530537977,83.5257939073,1,1,0.468415021896,1
97,86.8667012139,120.160880207,0,0,0.590329170227,1
98,108.536105038,71.1471440302,1,1,0.516874074936,1
99,124.402294224,90.7597763537,1,1,0.540093898773,1
100,128.011549269,93.7432225487,1,1,0.517935037613,1
101,126.046626858,91.4868657061,1,1,0.470538139343,1
102,133.822615861,105.017005017,1,1,0.377369165421,1
103,115.824157534,138.035973597,0,1,0.301307916641,0
104,87.575594821,105.904140388,0,0,0.564452886581,1
105,100.163203003,87.879234619,1,0,0.345144987106,0
106,94.1353687042,118.238837511,0,0,0.451337099075,1
107,86.4817464165,105.732361793,0,0,0.614018917084,1
108,98.1316385305,93.0316719148,1,0,0.401051044464,0
109,109.85338018,82.2784637176,1,1,0.679702997208,1
110,69.8908889481,94.6848557447,0,0,0.685388088226,1
111,94.4446815989,116.68590999,0,0,0.62260389328,1
112,112.39954772,91.6263213521,1,1,0.768201112747,1
