id = 15; sex = male; age = 21; condition = 1; responseOrder = 1_0; featureOrder = 0_1
trial,x1,x2,y,response,time,correct
1,109.208667988,88.7891158543,1,1,4.48490798997,1
2,135.414129975,126.558892816,0,1,4.76824044209,0
3,105.029965483,138.038985853,0,1,2.4341626729,0
4,132.660931926,96.3558961923,1,0,1.90082415618,0
5,116.912414846,83.9638317915,1,1,4.16810173506,1
6,99.8893622398,88.5185551613,1,1,1.76736839156,1
7,76.5578500181,129.57557602,0,0,1.38401105924,1
8,70.6607668012,139.15494202,0,0,2.85101340112,1
9,108.853755978,130.338487389,0,1,1.18386675417,0
10,103.307369628,121.629184294,0,1,1.06714446988,0
11,107.300935681,84.0449206033,1,1,1.36723994761,1
12,95.2350804628,130.521652451,0,1,4.3682105859,0
13,116.320572125,136.957655135,0,1,0.71709424298,0
14,86.0252889585,79.95229274,1,1,1.11727804539,1
15,87.652926711,138.42813961,0,0,0.883803309698,1
16,122.850730395,82.9744964519,1,1,1.00050973281,1
17,126.715056376,125.092638448,0,0,1.08390407445,1
18,112.179517015,92.9783544301,1,1,0.934039204963,1
19,105.028203352,130.493465558,0,0,1.01712534326,1
20,122.759103517,86.5750613236,1,1,0.833871574723,1
21,104.846476844,122.150076521,0,0,1.43399690866,1
22,124.717638251,122.44775836,0,0,1.01714586944,1
23,131.878156968,134.786640656,0,0,0.900503512763,1
24,138.126769076,119.514654442,0,0,1.0338600676,1
25,132.231545768,121.394177503,0,0,0.95055405068,1
26,95.9514227906,86.368632775,1,1,0.883790869615,1
27,96.7075623206,129.841073733,0,0,0.9004649485,1
28,83.1077057944,126.592828414,0,0,0.883776874514,1
29,74.9125161667,128.678888314,0,0,0.750458572933,1
30,110.028693351,101.868422258,1,1,0.967160331027,1
31,90.7755642124,119.75851328,0,0,1.20070442028,1
32,79.6410332969,126.549348471,0,0,0.900574110332,1
33,102.034452991,95.4612195647,1,1,0.90047023556,1
34,80.5528722459,90.437378175,1,1,0.933796934143,1
35,113.190109958,86.9485930971,1,1,0.800418609113,1
36,127.367705249,130.376782179,0,0,0.867128297745,1
37,136.116670471,87.0693672486,1,1,0.833832699456,1
38,125.170074347,124.539343779,0,0,0.933823058382,1
39,143.60098782,96.2576162045,1,1,1.26726700482,1
40,123.492496792,86.5810836229,1,1,0.733797556139,1
41,70.9844970545,101.027062542,1,0,1.18399986316,0
42,97.7164433967,104.609834666,1,0,1.23399535363,0
43,73.5057755011,133.386050478,0,1,0.650610964105,0
44,98.0369676914,107.251331798,1,0,1.65067969554,0
45,99.4695504157,75.1145465793,1,1,1.15052077337,1
46,99.9126345387,133.056413366,0,0,0.700397460954,1
47,139.146254044,125.796190054,0,1,0.817210868932,0
48,135.438665452,129.269686233,0,0,1.40063537774,1
49,115.9138432,88.1480501844,1,1,0.733753704815,1
50,105.013762419,90.2044425524,1,1,0.683725248091,1
51,96.4424200288,116.046170989,0,1,0.750457017915,0
52,129.287795209,82.3538144014,1,1,0.650342569104,1
53,84.7846995755,89.8884954701,1,1,0.717108549143,1
54,89.163439176,120.499096272,0,0,1.23395243526,1
55,123.869097242,121.913743829,0,0,1.61739218328,1
56,82.2615089887,85.2916755399,1,1,0.883812328742,1
57,103.56019027,132.985489566,0,0,0.73373753269,1
58,123.552203652,136.940888759,0,0,0.683829122863,1
59,105.307051072,88.329251791,1,1,0.733759613824,1
60,98.9411393257,91.7768440879,1,1,0.650373358338,1
61,107.7745272,100.630154509,1,1,0.600393417932,1
62,129.188043241,99.3859977903,1,1,0.917193763773,1
63,89.0607838633,134.939787184,0,0,0.76711803471,1
64,131.565109178,134.280416192,0,0,0.817073716898,1
65,115.674745193,111.947591642,0,0,1.66746013728,1
66,112.517365645,98.7843859472,1,1,1.56737989868,1
67,93.2966184809,93.0173018833,1,1,0.800411767093,1
68,103.853586472,126.952521896,0,0,0.783797400654,1
69,114.784610061,97.0111104158,1,1,0.90048049856,1
70,103.150763216,126.484248143,0,0,0.833772675949,1
71,113.511808096,120.499715161,0,0,0.633885258809,1
72,85.5237163324,98.8421033025,1,0,0.733751838794,0
73,119.811440966,92.701009372,1,1,0.550407879578,1
74,108.882610856,131.747105941,0,0,0.717037018621,1
75,111.783579194,85.1915880807,1,1,1.23387997178,1
76,105.613655765,136.66710971,0,1,0.733849493554,0
77,111.37792806,123.162174269,0,0,0.550357497181,1
78,103.827037699,125.092312707,0,0,0.617076204915,1
79,91.5564402661,138.446185623,0,0,0.617043860606,1
80,107.186134735,96.6464447669,1,1,1.06718956528,1
81,98.9933484018,127.033214622,0,0,1.16731521022,1
82,93.5781114853,80.3592261541,1,1,0.783759147336,1
83,129.839597486,98.0845615583,1,1,0.883755104325,1
84,120.666789471,93.7896669863,1,1,1.03380533122,1
85,107.222721984,99.9330990435,1,1,0.683717162057,1
86,112.395849929,114.082826603,0,0,0.767216311418,1
87,116.890853746,103.572760013,1,0,2.23419004108,0
88,109.870934627,91.683681789,1,1,0.617237926112,1
89,110.973599187,117.321150766,0,0,0.833812484285,1
90,110.978462216,125.220996424,0,0,0.933840785467,1
91,107.754944645,126.301839415,0,0,0.833755881875,1
