id = 18; sex = male; age = 19; condition = 2; responseOrder = 0_1; featureOrder = 1_0
trial,x1,x2,y,response,time,correct
1,115.308930173,150.171279582,0,0,2.28258895874,1
2,122.796187256,96.7144457171,1,0,1.46934509277,0
3,147.102446223,117.74820939,1,1,1.48464107513,1
4,94.7764774205,116.639056066,0,1,1.34069895744,0
5,97.7800877592,130.458467325,0,0,1.67484092712,1
6,96.9919411797,130.789575099,0,0,3.47105288506,1
7,100.51101332,88.8131841323,1,0,1.25724983215,0
8,109.50969913,86.173897753,1,1,1.61852407455,1
9,120.395512225,102.491970061,1,0,1.80119800568,0
10,107.827126471,132.64651728,0,0,2.35764312744,1
11,121.492291872,105.612886978,1,0,1.67330098152,0
12,108.381749476,134.130256116,0,0,1.53521680832,1
13,92.2466860545,113.180878145,0,1,0.852856874466,0
14,95.7938177587,119.248888453,0,0,2.73504495621,1
15,121.2050477,152.441701524,0,1,1.38781380653,0
16,106.665604482,87.3822043657,1,0,1.13507008553,0
17,95.4925130749,122.053883354,0,0,1.30350184441,1
18,114.603536092,83.6272038143,1,0,2.70396995544,0
19,135.462655631,90.0885841452,1,1,1.19984507561,1
20,103.281211844,122.614579058,0,0,0.784069061279,1
21,108.82351672,130.237499982,0,1,0.487451076508,0
22,119.801375597,93.0002488005,1,1,1.15234804153,1
23,134.711839257,112.060505914,1,1,0.751621007919,1
24,112.814211795,144.38833554,0,1,1.30298399925,0
25,85.5630258136,113.250316536,0,0,1.6562628746,1
26,123.486495684,118.603208515,1,1,0.868912935257,1
27,116.735116318,79.7487782896,1,1,0.801039934158,1
28,133.41421233,101.604583908,1,1,0.601235866547,1
29,100.125227471,112.997749314,0,0,0.866015911102,1
30,128.288335153,102.574482835,1,1,1.20170998573,1
31,80.8519034496,125.982367196,0,0,0.634553909302,1
32,91.0393857361,118.187041282,0,0,0.48472905159,1
33,127.968983982,87.5157729577,1,1,0.484457969666,1
34,122.712888651,111.012739489,1,1,0.348078966141,1
35,134.5774522,97.7960499811,1,1,0.334681987762,1
36,121.059409906,98.106027324,1,1,0.362938165665,1
37,144.029260323,121.94311054,1,1,0.334517002106,1
38,127.190391326,107.475142126,1,1,0.302321195602,1
39,125.334421279,95.3607465863,1,1,0.334583044052,1
40,89.5562671715,106.474402227,0,0,0.585222005844,1
41,124.764427335,105.188385013,1,1,0.402580022812,1
42,92.4882082595,122.976591237,0,0,0.601191997528,1
43,86.4260307652,110.260872032,0,0,0.44899892807,1
44,97.3398638487,125.155285796,0,0,0.334586858749,1
45,100.704040521,125.563843416,0,0,0.30119395256,1
46,116.044940459,71.861058823,1,1,0.598438024521,1
47,128.89679546,108.03992323,1,0,0.334491014481,0
48,105.0308822,91.09850392,1,0,0.636125802994,0
49,125.029940162,102.70230754,1,1,1.1508538723,1
50,121.365404675,84.0287526133,1,1,1.13522100449,1
51,89.2692819731,119.190493216,0,0,0.583141088486,1
52,109.405044249,132.28827977,0,0,0.357203006744,1
53,126.108552461,140.443991166,0,1,0.701286077499,0
54,142.351898699,115.488792257,1,0,0.817966938019,0
55,144.452960811,122.083379481,1,1,0.601269960403,1
56,113.360462171,128.047539992,0,1,0.98827791214,0
57,88.6032265869,117.949129143,0,0,1.78756999969,1
58,95.0354180726,126.81297383,0,0,0.512890100479,1
59,96.4313788372,135.854392995,0,0,0.534567832947,1
60,94.2361918885,114.587411645,0,0,0.754531860352,1
61,107.344959655,80.2184804437,1,0,0.644591093063,0
62,118.178840365,155.16860376,0,1,0.499820947647,0
63,140.193689549,113.968490925,1,0,1.51987981796,0
64,104.755027719,88.5999506952,1,0,0.786170005798,0
65,109.195155249,122.974854602,0,1,0.567006111145,0
66,108.720128069,130.356618923,0,0,2.80258917809,1
67,90.6883865619,113.052389714,0,0,0.734675884247,1
68,113.735671278,109.261463705,1,1,1.26922392845,1
69,145.417588844,111.840274877,1,1,0.534078836441,1
70,82.8279307978,127.069690489,0,0,0.553107023239,1
71,103.447858393,94.2610230923,1,0,0.801342010498,0
72,125.681945154,99.6719577482,1,0,1.03478598595,0
73,108.571656879,145.623776494,0,1,0.734637975693,0
74,110.440884158,95.1567401025,1,1,3.07643985748,1
75,134.572435031,87.1889656842,1,1,0.538522958755,1
76,132.133329519,108.251448803,1,1,0.969623088837,1
77,128.658110259,103.193508749,1,1,0.734564065933,1
78,120.139084196,93.4833238326,1,1,0.902755022049,1
79,66.8905456988,92.7835139623,0,1,2.08328795433,0
80,82.7443214008,101.456128923,0,0,1.41880702972,1
81,86.3745097112,122.96487219,0,0,0.366276979446,1
82,82.7721021841,105.22147375,0,0,0.452720880508,1
83,144.742666375,112.725156681,1,1,0.467934846878,1
84,144.285269709,103.869263378,1,1,0.451362133026,1
85,90.1411004287,120.706913139,0,0,0.434536933899,1
86,101.620977613,132.658628048,0,0,0.885504007339,1
87,92.4210544227,130.775132186,0,0,0.553282976151,1
88,91.0144219107,97.2478368698,0,0,0.501373052597,1
89,89.9126647495,116.172068372,0,0,0.421237945557,1
90,111.742278698,97.5691417406,1,0,0.385436058044,0
91,103.224227364,128.889136785,0,0,0.997851848602,1
92,126.44874493,84.1671268338,1,1,1.32834196091,1
93,117.965487969,87.4250755238,1,1,0.767393112183,1
94,85.006805161,103.176484614,0,0,0.768811941147,1
95,99.5440209764,120.168284293,0,0,0.645675897598,1
96,121.521992661,87.8033498479,1,1,1.45872092247,1
97,124.610817682,127.72617844,1,1,0.501261949539,1
98,95.8503719777,126.99130891,0,0,0.685428142548,1
99,107.527209087,81.878294049,1,0,1.53458213806,0
100,99.574989086,120.827087433,0,0,2.8524119854,1
101,115.483209981,89.7336535345,1,1,2.5690369606,1
102,88.8602942084,104.955687798,0,0,0.767437934875,1
103,91.3689293691,121.247656283,0,0,0.701370000839,1
104,140.299281108,123.799933024,1,1,1.05704188347,1
105,83.9259952404,114.561141422,0,0,0.854720830917,1
106,98.0110721487,127.511975688,0,0,0.552886962891,1
107,77.9264498015,96.047385635,0,0,0.727431058884,1
108,91.6290740556,120.43201333,0,0,0.714766025543,1
109,138.87621566,96.3717111086,1,1,0.73300909996,1
110,111.577382226,129.506119626,0,1,0.884181022644,0
111,134.00952794,91.7910679418,1,1,1.75192308426,1
112,88.8220584195,127.156330837,0,0,0.569534063339,1
113,112.192421309,93.5242551537,1,1,3.20253992081,1
114,99.3697979173,120.950493589,0,0,1.15316200256,1
115,110.116615431,121.975905176,0,0,0.534681081772,1
116,113.608858093,136.735842004,0,0,1.71795797348,1
